hispanic,white,black,native,multiple,CENSUS_TRACT,api,tract,state,county
532,1742,1360,9,154,37049960502,1904,960502,37,049
419,2306,1451,19,199,37049960600,9082,960600,37,049
113,1318,197,0,90,37049960700,1085,960700,37,049
129,640,1700,16,105,37049960800,480,960800,37,049
66,945,536,7,61,37049960900,400,960900,37,049
227,3028,397,5,185,37049961002,334,961002,37,049
420,5173,641,12,273,37049961003,1326,961003,37,049
307,4197,653,13,216,37049961004,8110,961004,37,049
493,4084,602,17,360,37049961101,17015,961101,37,049
362,2440,518,11,239,37049961102,12926,961102,37,049
461,1280,260,12,140,37049961201,585,961201,37,049
586,1401,254,2,70,37049961202,8511,961202,37,049
430,2029,419,17,259,37049961301,10012,961301,37,049
514,2605,1343,25,374,37049961302,13030,961302,37,049
203,2084,1272,19,225,37049961303,294,961303,37,049
115,178,1572,33,105,37051000200,141,000200,37,051
221,834,823,66,106,37051000500,248,000500,37,051
402,2771,1599,47,229,37051000600,3449,000600,37,051
329,3775,636,50,204,37051000701,4385,000701,37,051
140,1595,354,23,84,37051000702,546,000702,37,051
192,1487,682,27,142,37051000800,210,000800,37,051
403,2588,1175,50,294,37051000900,8914,000900,37,051
142,361,2214,8,112,37051001000,2810,001000,37,051
143,145,3446,17,140,37051001100,142,001100,37,051
460,1163,3599,59,260,37051001200,4610,001200,37,051
245,1864,1089,95,151,37051001401,302,001401,37,051
130,556,1574,162,113,37051001402,226,001402,37,051
296,1209,983,94,166,37051001500,315,001500,37,051
475,1449,1376,68,226,37051001603,413,001603,37,051
925,2349,3697,152,480,37051001604,12825,001604,37,051
473,1753,1140,53,220,37051001605,6115,001605,37,051
399,1475,1395,68,241,37051001606,904,001606,37,051
230,1219,910,87,204,37051001701,384,001701,37,051
918,1591,2511,114,352,37051001702,10424,001702,37,051
222,1016,570,44,136,37051001800,687,001800,37,051
253,891,655,49,134,37051001901,240,001901,37,051
603,1616,1721,51,296,37051001902,8317,001902,37,051
542,1666,1346,98,233,37051001903,4818,001903,37,051
430,978,1133,41,158,37051002001,12111,002001,37,051
644,1544,1859,26,263,37051002002,12238,002002,37,051
474,1951,1366,22,221,37051002100,22811,002100,37,051
372,933,822,9,169,37051002200,1136,002200,37,051
346,833,2099,28,158,37051002301,478,002301,37,051
83,306,530,9,59,37051002302,113,002302,37,051
138,197,1105,20,77,37051002401,34,002401,37,051
383,562,2039,25,166,37051002402,3916,002402,37,051
788,2192,4337,63,396,37051002501,14618,002501,37,051
548,2192,1984,25,234,37051002503,14124,002503,37,051
904,3482,2923,56,456,37051002504,30639,002504,37,051
329,1243,1479,37,199,37051002505,687,002505,37,051
387,1283,1277,25,202,37051002506,1798,002506,37,051
235,3087,1109,57,190,37051002600,463,002600,37,051
183,2028,453,55,136,37051002701,191,002701,37,051
403,3217,1358,94,333,37051002702,7443,002702,37,051
325,2816,858,101,267,37051002801,440,002801,37,051
126,1984,195,96,132,37051002802,145,002802,37,051
252,2768,811,142,188,37051002900,70,002900,37,051
153,1719,657,91,109,37051003002,81,003002,37,051
719,3828,1810,246,518,37051003003,13011,003003,37,051
661,4685,1513,204,463,37051003004,11719,003004,37,051
845,3206,1348,139,505,37051003102,3577,003102,37,051
755,2991,2096,131,488,37051003103,10329,003103,37,051
547,2147,1422,129,272,37051003105,708,003105,37,051
219,1121,487,110,121,37051003106,80,003106,37,051
755,1678,2623,73,275,37051003203,13718,003203,37,051
624,1398,2539,30,292,37051003205,18620,003205,37,051
682,2477,1999,72,345,37051003206,17127,003206,37,051
929,3957,1486,96,545,37051003207,56621,003207,37,051
459,996,1884,68,201,37051003208,648,003208,37,051
627,1643,1714,26,299,37051003209,18030,003209,37,051
792,938,3493,42,258,37051003302,17615,003302,37,051
945,1858,3340,55,406,37051003304,36356,003304,37,051
482,768,2208,15,196,37051003307,14328,003307,37,051
750,1186,2519,44,302,37051003310,12235,003310,37,051
415,603,1570,27,136,37051003311,678,003311,37,051
956,1865,2938,55,381,37051003312,18133,003312,37,051
1039,1392,3784,47,389,37051003313,17953,003313,37,051
1075,1676,3824,69,417,37051003314,13875,003314,37,051
644,1108,1883,22,256,37051003315,21535,003315,37,051
315,651,839,26,123,37051003316,12029,003316,37,051
491,1409,1242,19,188,37051003317,15326,003317,37,051
383,812,981,10,151,37051003318,12513,003318,37,051
